file name,project number,index,character,number of ball
407253_1_285_3000,407253,1,C,53
407253_1_285_3000,407253,1,E,53
407253_1_285_3000,407253,1,N,70
407253_1_285_3000,407253,1,T,71
407253_1_285_3000,407253,1,U,63
407253_1_285_3000,407253,1,R,59
407253_1_285_3000,407253,1,Y,71
407253_1_285_3000,407253,1,Not a letter,67
407253_1_285_3000,407253,1,Not a letter2,71
407253_1_285_3000,407253,1,Not a letter3,71
407253_1_285_3000,407253,1,Not a letter4,95
407253_1_285_3000,407253,1,Not a letter5,64
407253_1_285_3000,407253,1,Not a letter6,71
407253_1_285_3000,407253,1,Not a letter7,113
